id,lng,lat,depth,order
968,-87.6413076,41.8844407,3,24660
969,-87.6442418,41.8856988,8,29186
970,-87.6474843,41.8856653,21,31651
971,-87.642764,41.8857114,5,26403
972,-87.6398377,41.8857304,4,25136
973,-87.6398988,41.8868185,2,17749
974,-87.6399856,41.8890613,7,28805
975,-87.6397587,41.8831787,10,29981
976,-87.6426404,41.8818295,11,30586
977,-87.644106,41.8818174,3,22520
978,-87.639704,41.881873,3,22888
979,-87.6441473,41.8831627,27,31895
980,-87.6441836,41.8844246,24,31807
981,-87.6352408,41.8793728,1,14896
982,-87.6353026,41.8819226,2,21290
983,-87.6353467,41.8832163,16,31328
984,-87.6353731,41.884462,4,23545
985,-87.6354018,41.8857326,1,12267
986,-87.6352714,41.8806351,4,25137
987,-87.6352804,41.874736,6,27313
988,-87.6335657,41.8721483,4,16887
989,-87.6443368,41.889054,31,31993
990,-87.6380993,41.8891037,1,10457
991,-87.6340145,41.8891546,11,30516
992,-87.6206778,41.8843552,1,9780
993,-87.617359,41.8844981,5,18524
994,-87.6141989,41.8910997,17,31336
995,-87.6115968,41.8919681,8,28026
996,-87.6280481,41.8908707,10,30046
997,-87.6311089,41.8908144,4,22521
998,-87.6324632,41.8907957,1,10458
999,-87.6392501,41.8907315,4,22144
1000,-87.6202471,41.8918028,4,24412
1001,-87.6267261,41.8916895,6,27845
1002,-87.628071,41.8916668,28,31914
1003,-87.6326849,41.8915969,19,31501
1004,-87.6398615,41.8914918,33,32001
1005,-87.6202626,41.8925884,13,30828
1006,-87.626742,41.8924976,3,23221
1007,-87.6280935,41.8924761,10,30587
1008,-87.6296596,41.8924572,23,31798
1009,-87.6311454,41.8924393,3,19778
1010,-87.6461442,41.8855158,5,25727
1011,-87.6370626,41.893148,9,29655
1012,-87.6385774,41.889918,2,18525
1013,-87.632637,41.8900004,8,29122
1014,-87.6280331,41.8900642,3,19176
1015,-87.6174176,41.8783605,1,10459
1016,-87.6171669,41.878363,2,12268
1017,-87.6444231,41.8719628,1,20
1018,-87.6466326,41.8575418,2,19177
1019,-87.6472748,41.8792118,1,9781
1020,-87.6473203,41.8804962,17,31292
1021,-87.6242947,41.8731504,9,29493
1022,-87.6170489,41.8732403,4,22889
1023,-87.6189955,41.864982,7,26544
1024,-87.6171399,41.8578495,1,10460
1025,-87.616068,41.8581222,8,27314
1026,-87.6139396,41.8650387,5,22890
1027,-87.6137538,41.8661148,1,5885
1028,-87.6101337,41.8661623,3,10461
1029,-87.6101381,41.8664686,1,6811
1030,-87.61373,41.8664065,4,19178
1031,-87.6275985,41.874552,1,12269
1032,-87.6275921,41.8743774,2,19179
1033,-87.6276511,41.8730972,1,7500
1034,-87.6419076,41.8754747,1,5886
1035,-87.6318254,41.9282059,3,22891
1036,-87.6291189,41.8722832,1,7948
1037,-87.6276336,41.8722934,9,29573
1038,-87.6259874,41.874405,4,24139
1039,-87.6259599,41.8731238,10,29982
1040,-87.6259263,41.8718484,3,20823
1041,-87.6276232,41.8718184,1,8798
1042,-87.6241094,41.8718809,1,7501
1043,-87.6287008,41.8757055,3,21291
1044,-87.6662916,41.8751833,1,8513
1045,-87.658543,41.8753217,14,30970
1046,-87.6447944,41.8575746,7,29055
1047,-87.6174185,41.8855237,1,7502
1048,-87.6175263,41.8865335,3,13696
1049,-87.617415,41.8871465,2,2952
1050,-87.6173185,41.8865355,4,15933
1051,-87.6160111,41.8874751,1,5887
1052,-87.6206285,41.8878369,4,23849
1053,-87.6206247,41.8879188,2,20318
1054,-87.850329,41.9837747,2,9782
1055,-87.6521759,41.8867387,11,30288
1056,-87.6521059,41.8844208,8,28933
1057,-87.652065,41.8830684,5,26255
1058,-87.6520303,41.8817351,3,24661
1059,-87.6519844,41.8804221,2,19180
1060,-87.6519453,41.8791385,3,21732
1061,-87.6474394,41.8844028,1,10462
1062,-87.6497788,41.8843614,2,15934
1063,-87.6521028,41.8843203,1,9783
1064,-87.6521411,41.8855877,13,30656
1065,-87.6567976,41.8855103,7,28433
1066,-87.6413456,41.8857228,2,18526
1067,-87.6474067,41.8831398,6,28434
1068,-87.7797197,41.8712961,1,21
1069,-87.7690608,41.8706401,2,2953
1070,-87.7685077,41.8706534,3,18527
1071,-87.7595583,41.87127,1,6812
1072,-87.6339309,41.8857296,3,23222
1073,-87.630977,41.8857403,5,25341
1074,-87.6325676,41.8857351,1,13697
1075,-87.627936,41.8857554,17,31435
1076,-87.6262823,41.8857605,2,15935
1077,-87.6244223,41.8857697,7,28357
1078,-87.6243639,41.8844885,1,10463
1079,-87.6249451,41.9052656,3,19779
1080,-87.6270536,41.9125382,4,23223
1081,-87.6270039,41.9124399,8,28806
1082,-87.6269324,41.912316,22,31674
1083,-87.6253032,41.9058588,3,16888
1084,-87.6250947,41.9049133,1,9094
1085,-87.6244896,41.9024295,5,24140
1086,-87.635587,41.920188,3,19181
1087,-87.6357308,41.9220003,4,22892
1088,-87.6360581,41.9256729,21,31604
1089,-87.6769037,41.8908249,1,10464
1090,-87.6458285,41.8912113,3,16889
1091,-87.6202813,41.8933961,8,28994
1092,-87.6241182,41.8933247,2,16890
1093,-87.6267576,41.8932946,4,23546
1094,-87.6281158,41.8932791,12,30610
1095,-87.6327193,41.8932091,4,22893
1096,-87.6411568,41.8930999,3,20319
1097,-87.641353,41.8868082,12,30635
1098,-87.6442784,41.8867994,3,23850
1099,-87.687207,41.9103236,20,31613
1100,-87.6726452,41.9072977,49,32099
1101,-87.6394946,41.9387644,1,12270
1102,-87.6394611,41.9377318,6,26404
1103,-87.6393914,41.9355872,5,26076
1104,-87.639351,41.9343445,7,27742
1105,-87.6443473,41.9386947,2,20320
1106,-87.6443145,41.9376567,1,6652
1107,-87.6394234,41.9365756,2,20824
1108,-87.6442777,41.9364911,2,21292
1109,-87.6442479,41.9355512,6,27430
1110,-87.6362564,41.9328443,3,20321
1111,-87.636768,41.9356211,4,22145
1112,-87.6368543,41.9366203,1,8466
1113,-87.6372907,41.9377608,3,21733
1114,-87.6378945,41.9387866,2,19780
1115,-87.6431704,41.9400543,2,20825
1116,-87.6431354,41.9387115,5,23547
1117,-87.6419798,41.9400752,4,22894
1118,-87.6419398,41.9391712,1,22
1119,-87.6409285,41.9400936,2,13698
