id,lng,lat,depth,order
47809,-74.153121,40.5349822,7,46394
47810,-74.1443971,40.5438377,9,51571
47811,-74.1478509,40.5400431,1,6466
47812,-74.1550044,40.5331262,11,51485
47813,-74.1459454,40.5424678,8,48469
47814,-74.1515281,40.5363375,2,32778
47815,-74.1514435,40.536523,5,43612
47816,-74.1458746,40.5424098,1,27391
47817,-74.1554996,40.5326,1,14817
47818,-74.1510047,40.5367875,6,44669
47819,-74.1540285,40.5342977,6,47761
47820,-74.1539269,40.5342376,8,48627
47821,-74.1451877,40.5431009,3,31408
47822,-74.153611,40.5345407,1,7830
47823,-74.1361381,40.5504641,2,31409
47824,-74.1373097,40.5495461,4,45001
47825,-74.1585424,40.5305902,6,45307
47826,-74.1426727,40.5454008,6,45597
47827,-74.1470664,40.5409909,13,53907
47828,-74.1420227,40.5458886,1,6467
47829,-74.1499741,40.5376737,9,51201
47830,-74.1435397,40.5447031,2,18720
47831,-74.1559808,40.5320886,2,24224
47832,-74.1560571,40.5321301,1,23203
47833,-74.1427687,40.5454707,4,44670
47834,-74.1374247,40.5496312,6,45308
47835,-73.9311825,40.5553671,2,6468
47836,-73.9235602,40.560204,1,2805
47837,-73.8170803,40.6758933,1,6469
47838,-73.8172533,40.6762735,3,33980
47839,-73.8170487,40.6763331,2,29805
47840,-73.8061755,40.6747858,1,8705
47841,-73.8889862,40.7709327,2,27811
47842,-73.9906658,40.7032441,4,39310
47843,-74.129928,40.6245845,1,12801
47844,-74.1299992,40.6264331,2,25903
47845,-74.0646094,40.6074272,1,2806
47846,-74.0641069,40.6076559,2,23204
47847,-74.2216602,40.5409529,6,44671
47848,-74.2207905,40.5411434,1,2807
47849,-74.2132083,40.5365819,1,2808
47850,-74.2098121,40.529564,1,2809
47851,-73.930386,40.766666,4,43202
47852,-73.9291499,40.765983,2,31410
47853,-73.7932852,40.734497,1,12802
47854,-73.7833464,40.7150893,1,14818
47855,-73.7848213,40.720211,2,38574
47856,-73.7846269,40.7213181,1,12803
47857,-73.7841715,40.7218257,1,14229
47858,-73.7846749,40.721919,3,39311
47859,-73.7839685,40.7220369,2,24014
47860,-73.7826977,40.7140692,3,40629
47861,-73.7831527,40.7151551,2,22084
47862,-73.7840541,40.7163606,11,53354
47863,-73.7848096,40.717829,5,46661
47864,-73.7849735,40.7189295,1,14819
